UBIGEO,CCDD,CCPP,CCDI,DEPARTAMEN,PROVINCIA,DISTRITO,OBJECTID,ESRI_OID,altitud,lon,lat
010101,01,01,01,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,5,2420.69876688197,-77.8564888512503,-6.24774347494765
010102,01,01,02,AMAZONAS,CHACHAPOYAS,ASUNCION,2,6,2848.6318537859,-77.7432050304132,-5.99613185418487
010103,01,01,03,AMAZONAS,CHACHAPOYAS,BALSAS,3,7,2323.20232690125,-77.9491661494218,-6.80772131890765
010104,01,01,04,AMAZONAS,CHACHAPOYAS,CHETO,4,8,2540.67948717949,-77.6771662623311,-6.2979699185918
010105,01,01,05,AMAZONAS,CHACHAPOYAS,CHILIQUIN,5,9,2651.19620253165,-77.7558666534351,-6.07820576804398
010106,01,01,06,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,6,10,2769.87390029326,-77.8950696235844,-6.93489659548686
010107,01,01,07,AMAZONAS,CHACHAPOYAS,GRANADA,7,11,3385.00577124869,-77.5765846467152,-6.09998080298834
010108,01,01,08,AMAZONAS,CHACHAPOYAS,HUANCAS,8,12,2198.24758220503,-77.8749799929596,-6.15614393972526
010109,01,01,09,AMAZONAS,CHACHAPOYAS,LA JALCA,9,13,2914.37726285301,-77.7843962460659,-6.50359365102512
010110,01,01,10,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10,14,3361.56245572609,-77.7987085533978,-6.80888818916991
010111,01,01,11,AMAZONAS,CHACHAPOYAS,LEVANTO,11,15,2749.06714628297,-77.8645540621834,-6.31429889474838
010112,01,01,12,AMAZONAS,CHACHAPOYAS,MAGDALENA,12,16,2700.87826086957,-77.8238188668759,-6.42056617035342
010113,01,01,13,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,13,17,2896.15603644647,-77.7700022611895,-6.57890340379538
010114,01,01,14,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,14,18,2765.85574377978,-77.607253656144,-6.21244135698993
010115,01,01,15,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,15,19,2842.79441997063,-77.7183772124645,-6.62810730283448
010116,01,01,16,AMAZONAS,CHACHAPOYAS,OLLEROS,16,20,3155.68776371308,-77.6709869731434,-6.00841337047257
010117,01,01,17,AMAZONAS,CHACHAPOYAS,QUINJALCA,17,21,3086.92122538293,-77.6854899078125,-6.10815948468053
010118,01,01,18,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,18,22,2337.13199105145,-77.7335743725377,-6.23223614572783
010119,01,01,19,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,19,23,2850.14808652246,-77.8225684442427,-6.3544182074831
010120,01,01,20,AMAZONAS,CHACHAPOYAS,SOLOCO,20,24,2929.03631961259,-77.74635432906,-6.30911329700597
010121,01,01,21,AMAZONAS,CHACHAPOYAS,SONCHE,21,25,2397.8475975976,-77.7964059770589,-6.17597369332282
010201,01,02,01,AMAZONAS,BAGUA,BAGUA,22,26,595.298293515358,-78.5209838457417,-5.58090770091713
010202,01,02,02,AMAZONAS,BAGUA,ARAMANGO,23,27,1267.22314242389,-78.4444030702595,-5.37875800926936
010203,01,02,03,AMAZONAS,BAGUA,COPALLIN,24,28,1312.967063129,-78.399749968551,-5.64770350142086
010204,01,02,04,AMAZONAS,BAGUA,EL PARCO,25,29,654.71921182266,-78.4739698418866,-5.62263809387288
010205,01,02,05,AMAZONAS,BAGUA,IMAZA,26,30,910.60088901127,-78.3896173779915,-4.9912855942232
010206,01,02,06,AMAZONAS,BAGUA,LA PECA,27,31,1075.93342036554,-78.445407432043,-5.59197738228071
010301,01,03,01,AMAZONAS,BONGARA,JUMBILLA,28,32,2682.70821529745,-77.8256610429179,-5.95173438383387
010302,01,03,02,AMAZONAS,BONGARA,CHISQUILLA,29,33,2827.56385945343,-77.7257973085439,-5.89484640444909
010303,01,03,03,AMAZONAS,BONGARA,CHURUJA,30,34,2215.20168067227,-77.9303640809523,-6.00779657693767
010304,01,03,04,AMAZONAS,BONGARA,COROSHA,31,35,2379.76083916084,-77.8107244652119,-5.81751850058811
010305,01,03,05,AMAZONAS,BONGARA,CUISPES,32,36,2227.66478873239,-77.9147927240236,-5.91114513735935
