UBIGEO,nombre,anio,poblacion
010101,CHACHAPOYAS,2017,35376.4564034856
010101,CHACHAPOYAS,2018,36602
010101,CHACHAPOYAS,2019,37870
010101,CHACHAPOYAS,2020,39051
010101,CHACHAPOYAS,2021,39691
010101,CHACHAPOYAS,2022,40274
010101,CHACHAPOYAS,2023,40817
010101,CHACHAPOYAS,2024,41335
010101,CHACHAPOYAS,2025,41843
010101,CHACHAPOYAS,2026,42342
010102,ASUNCION,2017,285.014234875445
010102,ASUNCION,2018,283
010102,ASUNCION,2019,281
010102,ASUNCION,2020,278
010102,ASUNCION,2021,277
010102,ASUNCION,2022,276
010102,ASUNCION,2023,273
010102,ASUNCION,2024,271
010102,ASUNCION,2025,269
010102,ASUNCION,2026,267
010103,BALSAS,2017,1242.33277870216
010103,BALSAS,2018,1222
010103,BALSAS,2019,1202
010103,BALSAS,2020,1180
010103,BALSAS,2021,1169
010103,BALSAS,2022,1158
010103,BALSAS,2023,1147
010103,BALSAS,2024,1137
010103,BALSAS,2025,1125
010103,BALSAS,2026,1113
010104,CHETO,2017,678.116379310345
010104,CHETO,2018,687
010104,CHETO,2019,696
010104,CHETO,2020,702
010104,CHETO,2021,705
010104,CHETO,2022,707
010104,CHETO,2023,710
010104,CHETO,2024,713
010104,CHETO,2025,716
010104,CHETO,2026,719
010105,CHILIQUIN,2017,634.372516556291
010105,CHILIQUIN,2018,619
010105,CHILIQUIN,2019,604
010105,CHILIQUIN,2020,589
010105,CHILIQUIN,2021,581
010105,CHILIQUIN,2022,575
010105,CHILIQUIN,2023,568
010105,CHILIQUIN,2024,561
010105,CHILIQUIN,2025,554
010105,CHILIQUIN,2026,547
010106,CHUQUIBAMBA,2017,1985.11508951407
010106,CHUQUIBAMBA,2018,1970
010106,CHUQUIBAMBA,2019,1955
010106,CHUQUIBAMBA,2020,1933
010106,CHUQUIBAMBA,2021,1922
010106,CHUQUIBAMBA,2022,1910
010106,CHUQUIBAMBA,2023,1898
010106,CHUQUIBAMBA,2024,1884
010106,CHUQUIBAMBA,2025,1872
010106,CHUQUIBAMBA,2026,1860
010107,GRANADA,2017,514.152255639098
010107,GRANADA,2018,523
010107,GRANADA,2019,532
010107,GRANADA,2020,539
010107,GRANADA,2021,541
010107,GRANADA,2022,543
010107,GRANADA,2023,546
010107,GRANADA,2024,549
010107,GRANADA,2025,551
010107,GRANADA,2026,553
010108,HUANCAS,2017,1275.66738351255
010108,HUANCAS,2018,1334
010108,HUANCAS,2019,1395
010108,HUANCAS,2020,1456
010108,HUANCAS,2021,1481
010108,HUANCAS,2022,1500
010108,HUANCAS,2023,1515
010108,HUANCAS,2024,1526
010108,HUANCAS,2025,1538
010108,HUANCAS,2026,1550
010109,LA JALCA,2017,4296.80612745098
010109,LA JALCA,2018,4187
010109,LA JALCA,2019,4080
010109,LA JALCA,2020,3966
010109,LA JALCA,2021,3834
010109,LA JALCA,2022,3697
010109,LA JALCA,2023,3558
010109,LA JALCA,2024,3418
010109,LA JALCA,2025,3279
010109,LA JALCA,2026,3140
010110,LEIMEBAMBA,2017,3879.07516254876
010110,LEIMEBAMBA,2018,3862
010110,LEIMEBAMBA,2019,3845
010110,LEIMEBAMBA,2020,3815
010110,LEIMEBAMBA,2021,3799
010110,LEIMEBAMBA,2022,3781
010110,LEIMEBAMBA,2023,3759
010110,LEIMEBAMBA,2024,3738
010110,LEIMEBAMBA,2025,3716
010110,LEIMEBAMBA,2026,3693
010111,LEVANTO,2017,843.206854345165
010111,LEVANTO,2018,830
010111,LEVANTO,2019,817
010111,LEVANTO,2020,803
010111,LEVANTO,2021,796
010111,LEVANTO,2022,789
010111,LEVANTO,2023,781
010111,LEVANTO,2024,774
010111,LEVANTO,2025,768
010111,LEVANTO,2026,762
010112,MAGDALENA,2017,913
010112,MAGDALENA,2018,913
010112,MAGDALENA,2019,913
010112,MAGDALENA,2020,911
010112,MAGDALENA,2021,910
010112,MAGDALENA,2022,906
010112,MAGDALENA,2023,903
010112,MAGDALENA,2024,900
010112,MAGDALENA,2025,895
010112,MAGDALENA,2026,890
010113,MARISCAL CASTILLA,2017,1441.72262773723
010113,MARISCAL CASTILLA,2018,1474
010113,MARISCAL CASTILLA,2019,1507
010113,MARISCAL CASTILLA,2020,1534
010113,MARISCAL CASTILLA,2021,1561
010113,MARISCAL CASTILLA,2022,1586
010113,MARISCAL CASTILLA,2023,1609
010113,MARISCAL CASTILLA,2024,1631
010113,MARISCAL CASTILLA,2025,1653
010113,MARISCAL CASTILLA,2026,1675
010114,MOLINOPAMPA,2017,2344.25087108014
010114,MOLINOPAMPA,2018,2320
010114,MOLINOPAMPA,2019,2296
010114,MOLINOPAMPA,2020,2266
010114,MOLINOPAMPA,2021,2251
010114,MOLINOPAMPA,2022,2235
010114,MOLINOPAMPA,2023,2218
010114,MOLINOPAMPA,2024,2201
010114,MOLINOPAMPA,2025,2185
010114,MOLINOPAMPA,2026,2169
010115,MONTEVIDEO,2017,535.508946322068
010115,MONTEVIDEO,2018,519
010115,MONTEVIDEO,2019,503
010115,MONTEVIDEO,2020,487
010115,MONTEVIDEO,2021,479
010115,MONTEVIDEO,2022,472
010115,MONTEVIDEO,2023,465
010115,MONTEVIDEO,2024,459
010115,MONTEVIDEO,2025,452
010115,MONTEVIDEO,2026,445
010116,OLLEROS,2017,415.114219114219
010116,OLLEROS,2018,422
010116,OLLEROS,2019,429
010116,OLLEROS,2020,435
010116,OLLEROS,2021,438
010116,OLLEROS,2022,441
010116,OLLEROS,2023,444
010116,OLLEROS,2024,446
010116,OLLEROS,2025,448
010116,OLLEROS,2026,450
010117,QUINJALCA,2017,831.17843866171
010117,QUINJALCA,2018,819
010117,QUINJALCA,2019,807
010117,QUINJALCA,2020,792
010117,QUINJALCA,2021,785
010117,QUINJALCA,2022,778
010117,QUINJALCA,2023,770
010117,QUINJALCA,2024,763
010117,QUINJALCA,2025,757
010117,QUINJALCA,2026,751
010118,SAN FRANCISCO DE DAGUAS,2017,319.012383900929
010118,SAN FRANCISCO DE DAGUAS,2018,321
010118,SAN FRANCISCO DE DAGUAS,2019,323
010118,SAN FRANCISCO DE DAGUAS,2020,323
010118,SAN FRANCISCO DE DAGUAS,2021,325
010118,SAN FRANCISCO DE DAGUAS,2022,326
010118,SAN FRANCISCO DE DAGUAS,2023,329
010118,SAN FRANCISCO DE DAGUAS,2024,332
010118,SAN FRANCISCO DE DAGUAS,2025,335
010118,SAN FRANCISCO DE DAGUAS,2026,338
010119,SAN ISIDRO DE MAINO,2017,617.135225375626
010119,SAN ISIDRO DE MAINO,2018,608
010119,SAN ISIDRO DE MAINO,2019,599
010119,SAN ISIDRO DE MAINO,2020,590
010119,SAN ISIDRO DE MAINO,2021,585
010119,SAN ISIDRO DE MAINO,2022,581
010119,SAN ISIDRO DE MAINO,2023,576
010119,SAN ISIDRO DE MAINO,2024,570
010119,SAN ISIDRO DE MAINO,2025,565
010119,SAN ISIDRO DE MAINO,2026,560
010120,SOLOCO,2017,1307.15324472244
010120,SOLOCO,2018,1293
010120,SOLOCO,2019,1279
010120,SOLOCO,2020,1261
010120,SOLOCO,2021,1252
010120,SOLOCO,2022,1243
010120,SOLOCO,2023,1234
010120,SOLOCO,2024,1224
010120,SOLOCO,2025,1214
010120,SOLOCO,2026,1204
010121,SONCHE,2017,266.058394160584
010121,SONCHE,2018,270
010121,SONCHE,2019,274
010121,SONCHE,2020,277
010121,SONCHE,2021,279
010121,SONCHE,2022,280
010121,SONCHE,2023,283
010121,SONCHE,2024,286
010121,SONCHE,2025,289
010121,SONCHE,2026,292
010201,BAGUA,2017,28658.6735274205
010201,BAGUA,2018,29096
010201,BAGUA,2019,29540
010201,BAGUA,2020,29905
010201,BAGUA,2021,30240
010201,BAGUA,2022,30479
010201,BAGUA,2023,30652
010201,BAGUA,2024,30790
010201,BAGUA,2025,30921
010201,BAGUA,2026,31045
010202,ARAMANGO,2017,10545.4450485437
010202,ARAMANGO,2018,10422
010202,ARAMANGO,2019,10300
010202,ARAMANGO,2020,10149
010202,ARAMANGO,2021,10049
010202,ARAMANGO,2022,9919
010202,ARAMANGO,2023,9770
010202,ARAMANGO,2024,9613
010202,ARAMANGO,2025,9458
010202,ARAMANGO,2026,9304
010203,COPALLIN,2017,5021.81094631293
010203,COPALLIN,2018,4903
010203,COPALLIN,2019,4787
010203,COPALLIN,2020,4660
010203,COPALLIN,2021,4563
010203,COPALLIN,2022,4452
010203,COPALLIN,2023,4334
010203,COPALLIN,2024,4213
010203,COPALLIN,2025,4093
010203,COPALLIN,2026,3975
010204,EL PARCO,2017,1296.00309597523
010204,EL PARCO,2018,1294
010204,EL PARCO,2019,1292
010204,EL PARCO,2020,1287
010204,EL PARCO,2021,1281
010204,EL PARCO,2022,1273
010204,EL PARCO,2023,1262
010204,EL PARCO,2024,1251
010204,EL PARCO,2025,1240
010204,EL PARCO,2026,1227
010205,IMAZA,2017,29510.3407028754
010205,IMAZA,2018,30392
010205,IMAZA,2019,31300
010205,IMAZA,2020,32136
010205,IMAZA,2021,32789
010205,IMAZA,2022,33338
010205,IMAZA,2023,33812
010205,IMAZA,2024,34240
010205,IMAZA,2025,34658
010205,IMAZA,2026,35062
010206,LA PECA,2017,6787.91750867139
010206,LA PECA,2018,6709
010206,LA PECA,2019,6631
010206,LA PECA,2020,6535
010206,LA PECA,2021,6453
010206,LA PECA,2022,6374
010206,LA PECA,2023,6299
010206,LA PECA,2024,6226
010206,LA PECA,2025,6155
010206,LA PECA,2026,6086
010301,JUMBILLA,2017,1392.26661742984
010301,JUMBILLA,2018,1373
010301,JUMBILLA,2019,1354
010301,JUMBILLA,2020,1332
010301,JUMBILLA,2021,1309
010301,JUMBILLA,2022,1283
010301,JUMBILLA,2023,1258
010301,JUMBILLA,2024,1232
010301,JUMBILLA,2025,1207
010301,JUMBILLA,2026,1182
010302,CHISQUILLA,2017,325.01246105919
010302,CHISQUILLA,2018,323
010302,CHISQUILLA,2019,321
010302,CHISQUILLA,2020,319
010302,CHISQUILLA,2021,317
010302,CHISQUILLA,2022,313
010302,CHISQUILLA,2023,310
010302,CHISQUILLA,2024,308
010302,CHISQUILLA,2025,304
010302,CHISQUILLA,2026,300
010303,CHURUJA,2017,297.013289036545
010303,CHURUJA,2018,299
010303,CHURUJA,2019,301
010303,CHURUJA,2020,301
010303,CHURUJA,2021,300
010303,CHURUJA,2022,298
010303,CHURUJA,2023,295
010303,CHURUJA,2024,292
010303,CHURUJA,2025,289
010303,CHURUJA,2026,286
010304,COROSHA,2017,801.098901098901
010304,COROSHA,2018,810
010304,COROSHA,2019,819
010304,COROSHA,2020,825
010304,COROSHA,2021,831
010304,COROSHA,2022,835
010304,COROSHA,2023,842
010304,COROSHA,2024,849
010304,COROSHA,2025,856
010304,COROSHA,2026,863
010305,CUISPES,2017,710.092219020173
010305,CUISPES,2018,702
010305,CUISPES,2019,694
010305,CUISPES,2020,684
010305,CUISPES,2021,673
010305,CUISPES,2022,662
010305,CUISPES,2023,650
010305,CUISPES,2024,638
