UBIGEO,DISTRITO,PROVINCIA,DEPARTAMEN,area_km2,densidad,descargas_anio,altitud,estrato,legacy_N,legacy_py,legacy_tasa,legacy_letalidad
010101,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,153.4,1.19,183,2420.69876688197,1500-2500,0,352859.456403486,0,0
010102,ASUNCION,CHACHAPOYAS,AMAZONAS,34.9,1.59,55,2848.6318537859,2500-3500,0,2493.01423487545,0,0
010103,BALSAS,CHACHAPOYAS,AMAZONAS,317.5,1.65,524,2323.20232690125,1500-2500,0,10582.3327787022,0,0
010104,CHETO,CHACHAPOYAS,AMAZONAS,70.4,10.21,719,2540.67948717949,2500-3500,0,6314.11637931035,0,0
010105,CHILIQUIN,CHACHAPOYAS,AMAZONAS,141.8,1.66,235,2651.19620253165,2500-3500,0,5285.37251655629,0,0
010106,CHUQUIBAMBA,CHACHAPOYAS,AMAZONAS,184,1.67,307,2769.87390029326,2500-3500,0,17329.1150895141,0,0
010107,GRANADA,CHACHAPOYAS,AMAZONAS,171.3,1.29,221,3385.00577124869,2500-3500,0,4838.1522556391,0,0
010108,HUANCAS,CHACHAPOYAS,AMAZONAS,46.3,1.47,68,2198.24758220503,1500-2500,0,13020.6673835126,0,0
010109,LA JALCA,CHACHAPOYAS,AMAZONAS,124.2,11.06,1374,2914.37726285301,2500-3500,0,34315.806127451,0,0
010110,LEIMEBAMBA,CHACHAPOYAS,AMAZONAS,381.1,4.7,1791,3361.56245572609,2500-3500,0,34194.0751625488,0,0
010111,LEVANTO,CHACHAPOYAS,AMAZONAS,74.9,3.04,228,2749.06714628297,2500-3500,0,7201.20685434517,0,0
010112,MAGDALENA,CHACHAPOYAS,AMAZONAS,135.6,3.14,426,2700.87826086957,2500-3500,0,8164,0,0
010113,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,78.9,10.42,822,2896.15603644647,2500-3500,0,13996.7226277372,0,0
010114,MOLINOPAMPA,CHACHAPOYAS,AMAZONAS,340.6,3.9,1328,2765.85574377978,2500-3500,0,20316.2508710801,0,0
010115,MONTEVIDEO,CHACHAPOYAS,AMAZONAS,123.1,7.55,929,2842.79441997063,2500-3500,0,4371.50894632207,0,0
010116,OLLEROS,CHACHAPOYAS,AMAZONAS,106.9,1.19,127,3155.68776371308,2500-3500,0,3918.11421911422,0,0
010117,QUINJALCA,CHACHAPOYAS,AMAZONAS,82.6,1.53,126,3086.92122538293,2500-3500,0,7102.17843866171,0,0
010118,SAN FRANCISCO DE DAGUAS,CHACHAPOYAS,AMAZONAS,40.4,5.23,211,2337.13199105145,1500-2500,0,2933.01238390093,0,0
010119,SAN ISIDRO DE MAINO,CHACHAPOYAS,AMAZONAS,108.1,5.39,583,2850.14808652246,2500-3500,0,5291.13522537563,0,0
010120,SOLOCO,CHACHAPOYAS,AMAZONAS,74.8,4.39,328,2929.03631961259,2500-3500,0,11307.1532447224,0,0
010121,SONCHE,CHACHAPOYAS,AMAZONAS,120.3,1.82,219,2397.8475975976,1500-2500,0,2504.05839416058,0,0
010201,BAGUA,BAGUA,AMAZONAS,133.4,2.35,313,595.298293515358,500-1500,0,270281.673527421,0,0
010202,ARAMANGO,BAGUA,AMAZONAS,773.8,7.76,6005,1267.22314242389,500-1500,0,90225.4450485437,0,0
010203,COPALLIN,BAGUA,AMAZONAS,99.2,1.84,183,1312.967063129,500-1500,0,41026.8109463129,0,0
010204,EL PARCO,BAGUA,AMAZONAS,18.2,3.59,65,654.71921182266,500-1500,0,11476.0030959752,0,0
010205,IMAZA,BAGUA,AMAZONAS,4597.4,13.04,59950,910.60088901127,500-1500,0,292175.340702875,0,0
010206,LA PECA,BAGUA,AMAZONAS,138.5,3.59,497,1075.93342036554,500-1500,0,58169.9175086714,0,0
010301,JUMBILLA,BONGARA,AMAZONAS,158.9,4.33,688,2682.70821529745,2500-3500,0,11740.2666174298,0,0
010302,CHISQUILLA,BONGARA,AMAZONAS,162,1.19,193,2827.56385945343,2500-3500,0,2840.01246105919,0,0
010303,CHURUJA,BONGARA,AMAZONAS,31.9,1.38,44,2215.20168067227,1500-2500,0,2672.01328903655,0,0
010304,COROSHA,BONGARA,AMAZONAS,64.3,3.29,212,2379.76083916084,1500-2500,0,7468.0989010989,0,0
010305,CUISPES,BONGARA,AMAZONAS,96.6,3.2,309,2227.66478873239,1500-2500,0,6039.09221902017,0,0
010306,FLORIDA,BONGARA,AMAZONAS,222.4,1.64,365,2393.74684574685,1500-2500,1,57179.0126384772,17.4889343809179,304.41400304414
010307,JAZAN,BONGARA,AMAZONAS,75.9,0.76,58,1930.5531660693,1500-2500,0,70430.210282712,0,0
010308,RECTA,BONGARA,AMAZONAS,28.1,1.18,33,2476.30769230769,1500-2500,0,1935.00456621005,0,0
010309,SAN CARLOS,BONGARA,AMAZONAS,112.6,0.44,50,2699.51768488746,2500-3500,0,5069.4785046729,0,0
010310,SHIPASBAMBA,BONGARA,AMAZONAS,125.6,4.51,566,2074.09025787966,1500-2500,0,15221.4082125604,0,0
010311,VALERA,BONGARA,AMAZONAS,78.1,1.02,80,2219.92413793103,1500-2500,0,7260.03686635945,0,0
010312,YAMBRASBAMBA,BONGARA,AMAZONAS,1682.2,5.85,9841,1769.69226643784,1500-2500,0,51146.1656325405,0,0
010401,NIEVA,CONDORCANQUI,AMAZONAS,4190,17.73,74289,504.652587527234,500-1500,0,184169.214939965,0,0
010402,EL CENEPA,CONDORCANQUI,AMAZONAS,5623.5,13.2,74230,952.011351560236,500-1500,0,114845.030295587,0,0
010403,RIO SANTIAGO,CONDORCANQUI,AMAZONAS,8088.7,18.93,153119,543.501526691944,500-1500,0,163986.904976344,0,0
010501,LAMUD,LUYA,AMAZONAS,73.2,1.07,78,2462.1157635468,1500-2500,0,21134.0016799664,0,0
010502,CAMPORREDONDO,LUYA,AMAZONAS,219.3,2.13,467,1687.68213552361,1500-2500,0,67867.6007814605,0,0
