indicator,value_expected,tolerance,value_actual,absolute_difference,status
RR_high_coast,87.26733,0.01,87.2673292564835,7.43516494594587e-07,PASS
RR_high_rest,35.73027,0.005,35.7302667483089,3.2516910977165e-06,PASS
RR_high_vs_amazon_lowland,13.98797,0.005,13.9879738291193,3.82911929897034e-06,PASS
RR_high_vs_pacific_coast,362.0649,0.01,362.064912109099,1.21090989750883e-05,PASS
checca_posterior_rate,266.374,0.05,266.374008097979,8.09797899137266e-06,PASS
check_RR_high_vs_merged_coast,362.0649,0.01,362.064912109099,1.21090989750883e-05,PASS
check_amazon_area_weighted_density,20.6478,0.01,20.6478,0,PASS
check_amazon_density_rank,1,0,1,0,PASS
check_backextrapolation_impact_pct,0.04881,0.002,0.0488103601565586,3.60156558604219e-07,PASS
check_deaths_in_districts_without_denominator,0,0,0,0,PASS
check_districts_without_2017_denominator,18,0,18,0,PASS
check_high_rate_2017_equals_2018,13.009896,0.001,13.0098960922558,9.22558012206309e-08,PASS
check_high_rate_reconstructed_2017,13.016249,0.001,13.0162493704524,3.70452399423016e-07,PASS
check_knn_districts_over_1km,1206,0,1206,0,PASS
check_knn_mean_point_distance_km,2.414448,0.02,2.41444830896806,3.0896806002545e-07,PASS
check_knn_polygons_compared,1891,0,1891,0,PASS
check_pacific_coast_deaths,4,0,4,0,PASS
coast_rate,0.1491537,5e-04,0.149153749534341,4.95343409900872e-08,PASS
density_ratio_high_rest,0.512,0.002,0.511896155315779,0.000103844684220977,PASS
density_ratio_high_vs_amazon,0.3817,0.002,0.381817067574804,0.000117067574804008,PASS
dispersion_phi_model1,18.671495,0.001,18.6714950574413,5.74413014930997e-08,PASS
dispersion_phi_model2,3.765032,0.001,3.76503208883935,8.88393496545348e-08,PASS
electrocution_ratio_high_coast,1.18,0.03,1.18142366351191,0.00142366351191003,PASS
geographic_cases,591,0,591,0,PASS
high_altitude_cases,510,0,510,0,PASS
high_rate,13.0162494,5e-04,13.0162493704524,2.95475999223527e-08,PASS
mean_age,42.27656,0.005,42.2765598650928,1.34907203630519e-07,PASS
median_age,44,0,44,0,PASS
men,314,0,314,0,PASS
missing_altitude,2,0,2,0,PASS
model_adjusted_altitude_beta,2.0425237,5e-04,2.04252367896273,2.10372697040384e-08,PASS
model_altitude_beta,2.7683434,5e-04,2.76834336616763,3.38323697945953e-08,PASS
model_density_beta,1.0071224,5e-04,1.0071223644277,3.55722999945129e-08,PASS
moran_I_deaths_knn8,0.3288984,0.002,0.328898413555503,1.3555502997864e-08,PASS
moran_I_deaths_queen,0.4350976,0.002,0.435097635779098,3.57790980176631e-08,PASS
moran_I_residuals_m1_queen,0.1367852,0.002,0.136785214735493,1.47354929924681e-08,PASS
moran_I_residuals_m2_knn8,0.1050807,0.002,0.105080670342767,2.96572330027445e-08,PASS
moran_I_residuals_m2_queen,0.1381741,0.002,0.138174143532093,4.35320930136651e-08,PASS
mortality_flash_ratio_high_rest,52.5,0.15,52.4522741833755,0.0477258166244994,PASS
mortality_flash_ratio_high_vs_amazon,198.94,0.5,198.943191127317,0.00319112731699533,PASS
multiple_event_victims,49,0,49,0,PASS
multiple_events,24,0,24,0,PASS
national_cases,593,0,593,0,PASS
negbin_theta_model1,0.3683,5e-04,0.3683,0,PASS
negbin_theta_model2,0.5428,5e-04,0.5428,0,PASS
percent_age_5_14,12.141653,0.01,12.141652613828,3.86171999267049e-07,PASS
percent_home,34.752981,0.01,34.7529812606474,2.60647404104475e-07,PASS
percent_necropsy,9.443508,0.01,9.44350758853288,4.11467119931785e-07,PASS
percent_oct_mar,85.328836,0.01,85.3288364249579,4.24957903533141e-07,PASS
pilpichaca_posterior_rate,255.2427,0.05,255.242686064417,1.39355830128807e-05,PASS
women,279,0,279,0,PASS
figure_exists_Figure_1_altitude_mortality.png,1,0,1,,PASS
figure_exists_Figure_2_seasonality.png,1,0,1,,PASS
figure_exists_Figure_3_age_sex.png,1,0,1,,PASS
figure_exists_Figure_4_density_mortality.png,1,0,1,,PASS
figure_exists_manuscript/Fig1.tif,1,0,1,,PASS
figure_exists_manuscript/Fig2.tif,1,0,1,,PASS
figure_exists_manuscript/Fig3.tif,1,0,1,,PASS
figure_exists_manuscript/Fig4.tif,1,0,1,,PASS
figure_exists_manuscript/Fig1.eps,1,0,1,,PASS
figure_exists_manuscript/Fig2.eps,1,0,1,,PASS
figure_exists_manuscript/Fig3.eps,1,0,1,,PASS
figure_exists_manuscript/Fig4.eps,1,0,1,,PASS
district_map_exists,1,0,1,,PASS
tables_without_producing_script,0,0,0,0,PASS
