UBIGEO,altitud,DISTRITO,PROVINCIA,DEPARTAMEN,lon,lat,person_years,deaths,estrato,crude_rate,post_a,post_b,posterior_rate,credible_lower,credible_upper,probability_above_84
080502,4152.78210251955,CHECCA,CANAS,CUSCO,-71.4777278460516,-14.491603515921,43895.1042911461,13,>3500,296.160590342239,13.067172020462,49055.7322531845,266.374008097979,142.099651642271,429.045394031519,0.999667221970015
090607,4412.57168256021,PILPICHACA,HUAYTARA,HUANCAVELICA,-74.9462178986776,-13.4094670659734,22527.4211234443,7,>3500,310.732416357906,7.06717202046202,27688.0490854827,255.242686064417,103.168542058064,475.000951022883,0.99087470923672
080802,4774.06121756826,CONDOROMA,ESPINAR,CUSCO,-71.0740280552032,-15.3007668558289,6958.59040178571,3,>3500,431.121797200499,3.06717202046202,12119.2183638241,253.083320094104,53.4552740622065,604.91539510688,0.923440198274127
080808,4146.45583211323,ALTO PICHIGUA,ESPINAR,CUSCO,-71.2226488588219,-14.737922926652,15792.6767177459,4,>3500,253.281952862701,4.06717202046202,20953.3046797843,194.10647067935,53.6432985948642,423.233619604192,0.904475119730176
080803,4278.37116738587,COPORAQUE,ESPINAR,CUSCO,-71.6353768028584,-14.7571719460736,77245.3200468933,15,>3500,194.186521473326,15.067172020462,82405.9480089316,182.840831086962,102.486617443073,286.070210092459,0.99510177538392
040404,4720.66116185605,CHACHAS,CASTILLA,AREQUIPA,-72.1160693385962,-15.182018640672,12940.1947115385,3,>3500,231.835769621378,3.06717202046202,18100.8226735768,169.449315966142,35.7904251503241,405.014838117881,0.815907226890461
210806,4506.78389272459,NUÑOA,MELGAR,PUNO,-70.6706362623173,-14.3567487345825,65867.945460902,11,>3500,167.000806280339,11.067172020462,71028.5734229403,155.812956492346,77.9743452219472,260.142266184524,0.960706909784755
080507,4122.55306603774,QUEHUE,CANAS,CUSCO,-71.4895074225532,-14.3656919238702,21287.5062869823,4,>3500,187.903643859219,4.06717202046202,26448.1342490206,153.779165750137,42.498437466471,335.303159716188,0.825060224069099
090102,4519.86665067754,ACOBAMBILLA,HUANCAVELICA,HUANCAVELICA,-75.3712701162617,-12.7040980244818,14948.9861864825,3,>3500,200.682505326865,3.06717202046202,20109.6141485208,152.522668899026,32.2152446224629,364.557057673751,0.773620968024603
030217,4070.46873184898,TUMAY HUARACA,ANDAHUAYLAS,APURIMAC,-73.458195430618,-13.96921982574,15183.2274368231,3,>3500,197.586449421436,3.06717202046202,20343.8553988614,150.766507150541,31.8443149715956,360.35951009313,0.768567473629874
080806,4020.87968,PICHIGUA,ESPINAR,CUSCO,-71.3437508400329,-14.679345201995,22463.4143646409,4,>3500,178.067320268832,4.06717202046202,27624.0423266792,147.233050556615,40.6893519128905,321.029879603454,0.805749480377729
030303,4317.076,HUAQUIRCA,ANTABAMBA,APURIMAC,-72.7867023465614,-14.3402767306719,16319.246882793,3,>3500,183.832012687007,3.06717202046202,21479.8748448314,142.79282549917,30.1601449607062,341.300953469161,0.743786103430316
210111,4380.00983049046,PICHACANI,PUNO,PUNO,-70.1583904683892,-16.2398293108989,47886.294,7,>3500,146.179614567793,7.06717202046202,53046.9219620383,133.224921617874,53.8492253824937,247.928610391086,0.84341536917108
210608,4039.75730994152,VILQUE CHICO,HUANCANE,PUNO,-69.6094903023986,-15.1380090792581,59309.2117523884,8,>3500,134.886297821651,8.06717202046202,64469.8397144268,125.130945822048,54.2520922449861,225.11894880637,0.826466930850121
080705,4197.26679497755,LIVITACA,CHUMBIVILCAS,CUSCO,-71.6710143514395,-14.3813106189059,102427.309902393,13,>3500,126.919275849265,13.067172020462,107587.937864431,121.455734535294,64.7916727711406,195.627283056518,0.877141120420344
030501,3923.49550547962,TAMBOBAMBA,COTABAMBAS,APURIMAC,-72.2129049928291,-13.9170456912798,85660.0045303254,10,>3500,116.740596207414,10.067172020462,90820.6324923638,110.846750833942,53.3101086956588,189.086724078713,0.768377536112961
080703,4000.72897322029,CHAMACA,CHUMBIVILCAS,CUSCO,-71.8815452845586,-14.3334759562531,52043.8527895695,6,>3500,115.287390890524,6.06717202046202,57204.4807516078,106.061132637612,39.193813189832,205.627083172321,0.660798284414729
080501,4076.98006644518,YANAOCA,CANAS,CUSCO,-71.442046924352,-14.2737768506156,74186.0154805418,8,>3500,107.837035702481,8.06717202046202,79346.6434425802,101.669984645285,44.0802980372778,182.91110898383,0.657655797583249
080207,4020.14489795918,SANGARARA,ACOMAYO,CUSCO,-71.5707719052743,-13.9539357409395,27244.1164483261,3,>3500,110.115518177662,3.06717202046202,32404.7444103644,94.6519429877376,19.9920150843941,226.235444788584,0.504650563893377
210209,4330.75630725863,POTONI,AZANGARO,PUNO,-70.0922238975983,-14.416445072841,28524.9500523013,3,>3500,105.17108687305,3.06717202046202,33685.5780143396,91.0529728525471,19.2318546168976,217.633248324206,0.47868237390814
