UBIGEO,lon,lat,altitud,densidad,area_km2,person_years,deaths,estrato,n_cells,crude_rate,res_m1,res_m2a,res_m2b,dev_m1,dev_m2b,expected_m1,SMR_m1
010101,-77.8564888512503,-6.24774347494765,2420.69876688197,1.19,153.4,311016.456403486,0,1500-2500,,0,-0.903692662514289,-0.499157362238228,-0.451180429276321,-1.27801441954476,-0.638065482159888,0.816660428282165,0
010102,-77.7432050304132,-5.99613185418487,2848.6318537859,1.59,34.9,2224.01423487545,0,2500-3500,,0,-0.0957310162447436,-0.0567421211182804,-0.0521313896821721,-0.135384101513075,-0.0737249183138846,0.00916442747125136,0
010103,-77.9491661494218,-6.80772131890765,2323.20232690125,1.65,317.5,9457.33277870216,0,1500-2500,,0,-0.148867810326305,-0.0968288764545255,-0.0889372181818249,-0.210530876364246,-0.125776220152472,0.0221616249513488,0
010104,-77.6771662623311,-6.2979699185918,2540.67948717949,10.21,70.4,5598.11637931035,0,2500-3500,,0,-0.129637390061678,-0.18626295844491,-0.187715024086109,-0.183334955215877,-0.265469132923767,0.0168058529020038,0
010105,-77.7558666534351,-6.07820576804398,2651.19620253165,1.66,141.8,4731.37251655629,0,2500-3500,,0,-0.126415106497161,-0.0784834339857422,-0.0722085291038781,-0.178777958097124,-0.102118281177717,0.0159807791506884,0
010106,-77.8950696235844,-6.93489659548686,2769.87390029326,1.67,184,15457.1150895141,0,2500-3500,,0,-0.242769419274644,-0.148680614863319,-0.136897373940422,-0.343327805267642,-0.193602122879805,0.0589369909349481,0
010107,-77.5765846467152,-6.09998080298834,3385.00577124869,1.29,171.3,4287.1522556391,0,2500-3500,,0,-0.168762036430168,-0.0853105907183712,-0.0776969508593269,-0.238665560733246,-0.109880081660296,0.0284806249400573,0
010108,-77.8749799929596,-6.15614393972526,2198.24758220503,1.47,46.3,11482.6673835126,0,1500-2500,,0,-0.151950908244157,-0.0957498458646313,-0.0873851639308092,-0.214891035253797,-0.123581283981147,0.0230890785162242,0
010109,-77.7843962460659,-6.50359365102512,2914.37726285301,11.06,124.2,31036.806127451,0,2500-3500,,0,-0.369095517545212,-0.522422996551584,-0.529380525749093,-0.521979886723556,-0.748657119170566,0.136231501071968,0
010110,-77.7987085533978,-6.80888818916991,3361.56245572609,4.7,381.1,30478.0751625488,0,2500-3500,,0,-0.445662738390261,-0.405806917437449,-0.394443309913083,-0.630262288875839,-0.557827078466416,0.198615276389506,0
010111,-77.8645540621834,-6.31429889474838,2749.06714628297,3.04,74.9,6433.20685434517,0,2500-3500,,0,-0.15499255545507,-0.124878869454263,-0.118496467179589,-0.219192573991425,-0.167579310978673,0.0240226922464931,0
010112,-77.8238188668759,-6.42056617035342,2700.87826086957,3.14,135.6,7269,0,2500-3500,,0,-0.16076944344622,-0.132318010909362,-0.125737097511001,-0.227362327336818,-0.177819108593486,0.0258468139460072,0
010113,-77.7700022611895,-6.57890340379538,2896.15603644647,10.42,78.9,12343.7226277372,0,2500-3500,,0,-0.230756057901828,-0.318656097096667,-0.321910324580609,-0.326338346684517,-0.455249946889822,0.0532483582583919,0
010114,-77.607253656144,-6.21244135698993,2765.85574377978,3.9,340.6,18131.2508710801,0,2500-3500,,0,-0.262404307580619,-0.236151465581395,-0.226927289317061,-0.371095730605632,-0.320923650224751,0.0688560206368639,0
010115,-77.7183772124645,-6.62810730283448,2842.79441997063,7.55,123.1,3919.50894632207,0,2500-3500,,0,-0.126726254216177,-0.15228020654824,-0.151328514257289,-0.179217987421258,-0.214010837236428,0.0160595435076631,0
010116,-77.6709869731434,-6.00841337047257,3155.68776371308,1.19,106.9,3470.11421911422,0,2500-3500,,0,-0.137782119634374,-0.0689311396672516,-0.0624787167492552,-0.194853342239444,-0.0883582485864638,0.0189839124909409,0
010117,-77.6854899078125,-6.10815948468053,3086.92122538293,1.53,82.6,6345.17843866171,0,2500-3500,,0,-0.180716779709816,-0.102153790119327,-0.0937499687509727,-0.255572120814012,-0.132582477279679,0.0326585544686861,0
010118,-77.7335743725377,-6.23223614572783,2337.13199105145,5.23,40.4,2598.01238390093,0,1500-2500,,0,-0.07867389800664,-0.0861214018946179,-0.0838425171318876,-0.111261693565748,-0.118571224831414,0.00618958222755918,0
010119,-77.8225684442427,-6.3544182074831,2850.14808652246,5.39,108.1,4726.13522537563,0,2500-3500,,0,-0.13965511301539,-0.143909616904553,-0.140605896851515,-0.197502154881112,-0.198846766277046,0.0195035505913414,0
010120,-77.74635432906,-6.30911329700597,2929.03631961259,4.39,74.8,10093.1532447224,0,2500-3500,,0,-0.211948225488423,-0.196991424336823,-0.190543363275439,-0.299740055006639,-0.269469008564309,0.0449220502876915,0
010121,-77.7964059770589,-6.17597369332282,2397.8475975976,1.82,120.3,2215.05839416058,0,1500-2500,,0,-0.0752696713826469,-0.0505819337784746,-0.0467050394838303,-0.106447390104705,-0.0660509002692037,0.00566552343005165,0
010201,-78.5209838457417,-5.58090770091713,595.298293515358,2.35,133.4,239360.673527421,0,500-1500,,0,-0.113739056739716,-0.144378680839576,-0.13308799062834,-0.16085131661283,-0.188214841335582,0.0129365730280404,0
010202,-78.4444030702595,-5.37875800926936,1267.22314242389,7.76,773.8,80767.4450485437,0,500-1500,,0,-0.188006850317176,-0.309286263049852,-0.305189754807433,-0.265881837537598,-0.431603490345991,0.0353465757661849,0
010203,-78.399749968551,-5.64770350142086,1312.967063129,1.84,99.2,36933.8109463129,0,500-1500,,0,-0.133531837402673,-0.112920096343271,-0.103667870721278,-0.188842535463459,-0.146608508756372,0.0178307516001339,0
010204,-78.4739698418866,-5.62263809387288,654.71921182266,3.59,18.2,10236.0030959752,0,500-1500,,0,-0.0268313806451149,-0.0398294227230016,-0.0375444126559315,-0.0379453024055165,-0.0530958175693504,0.000719922987323049,0
010205,-78.3896173779915,-4.9912855942232,910.60088901127,13.04,4597.4,257517.340702875,0,500-1500,,0,-0.212468946513086,-0.500289065990739,-0.504997313484152,-0.30047646574193,-0.714174049691266,0.0451430532323807,0
010206,-78.445407432043,-5.59197738228071,1075.93342036554,3.59,138.5,52014.9175086714,0,500-1500,,0,-0.12029555034301,-0.14834214278818,-0.140559823596279,-0.17012359878822,-0.198781608854628,0.0144710194323276,0
010301,-77.8256610429179,-5.95173438383387,2682.70821529745,4.33,158.9,10533.2666174298,0,2500-3500,,0,-0.191729931096972,-0.182996748546124,-0.17672168792493,-0.271147068870197,-0.249922207828901,0.0367603664784496,0
010302,-77.7257973085439,-5.89484640444909,2827.56385945343,1.19,162,2536.01246105919,0,2500-3500,,0,-0.101180574867855,-0.0527378414915128,-0.0477463860611378,-0.143090941226827,-0.0675235867219628,0.0102375087305896,0
010303,-77.9303640809523,-6.00779657693767,2215.20168067227,1.38,31.9,2383.01328903655,0,1500-2500,,0,-0.0699622328292511,-0.0427187455414376,-0.0388660423865483,-0.0989415385210311,-0.0549648842588242,0.00489471402245434,0
010304,-77.8107244652119,-5.81751850058811,2379.76083916084,3.29,64.3,6612.0989010989,0,1500-2500,,0,-0.128690230815635,-0.113414750170927,-0.107884876486714,-0.181995469764395,-0.152572255502457,0.0165611755073814,0
010305,-77.9147927240236,-5.91114513735935,2227.66478873239,3.2,96.6,5413.09221902017,0,1500-2500,,0,-0.106266351702076,-0.094791693334612,-0.0899817462110697,-0.150283315800985,-0.127253405857709,0.0112925375040693,0
010306,-77.9592017367962,-5.8236063569482,2393.74684574685,1.64,222.4,50934.0126384771,1,1500-2500,,19.6332460019961,2.4170557716165,4.09855351119336,4.50151792813554,1.53134053251439,2.07168508118821,0.129659661224699,7.71249894187993
010307,-78.0234321451667,-5.94537432553968,1930.5531660693,0.76,75.9,62936.210282712,0,1500-2500,,0,-0.297215917376377,-0.145790116488662,-0.128528828126502,-0.420326781306834,-0.18176721189242,0.0883373015418814,0
010308,-77.7753587551351,-5.93922087918304,2476.30769230769,1.18,28.1,1730.00456621005,0,1500-2500,,0,-0.0695514148334302,-0.0379471389840585,-0.0342933764038115,-0.0983605541396743,-0.0484981580098356,0.0048373993053319,0
010309,-77.8790614978866,-5.99638860269085,2699.51768488746,0.44,112.6,4450.4785046729,0,2500-3500,,0,-0.125709073696613,-0.0424712031532073,-0.0365534263948634,-0.177779476935109,-0.0516943513588225,0.0158027712096604,0
010310,-78.0520899646886,-5.88374728612437,2074.09025787966,4.51,125.6,13460.4082125604,0,1500-2500,,0,-0.151796632844126,-0.162462612259429,-0.156791687556744,-0.214672856890732,-0.221736931010112,0.0230422177428143,0
010311,-77.8691738476564,-6.08063360188559,2219.92413793103,1.02,78.1,6573.03686635945,0,1500-2500,,0,-0.116536945307888,-0.0619985636105123,-0.0555555794794817,-0.164808128571946,-0.0785674539653795,0.0135808596216936,0
010312,-77.8605175218124,-5.52428890156992,1769.69226643784,5.85,1682.2,45701.1656325405,0,1500-2500,,0,-0.224535930669117,-0.286887630836949,-0.280061934697792,-0.31754175839233,-0.396067386354066,0.0504163841614466,0
010401,-77.9303390010414,-4.84533045204569,504.652587527234,17.73,4190,164913.214939965,0,500-1500,,0,-0.0751116881487813,-0.253399920957073,-0.258177606875885,-0.106223968072745,-0.365118273144906,0.00564176569655977,0
010402,-78.3358867219675,-4.1684271966668,952.011351560236,13.2,5623.5,101048.030295587,0,500-1500,,0,-0.141543562413174,-0.329613222334249,-0.333074584540011,-0.200172825631313,-0.471038594738268,0.0200345800606121,0
010403,-77.8881490256153,-3.81331766358211,543.501526691944,18.93,8088.7,144500.904976344,0,500-1500,,0,-0.077910652986735,-0.263365785391165,-0.269427190269051,-0.110182302107185,-0.381027586550569,0.00607006984881944,0
010501,-77.9435585004791,-6.11988018586122,2462.1157635468,1.07,73.2,18851.0016799664,0,1500-2500,,0,-0.227768927442924,-0.119135348235408,-0.107128288941108,-0.322113906276956,-0.151502279134338,0.0518786843084998,0
010502,-78.3344784316188,-6.1777946581983,1687.68213552361,2.13,219.3,60100.6007814605,0,1500-2500,,0,-0.241122563251579,-0.198389200667697,-0.183964453505592,-0.340998799144547,-0.260165025142163,0.0581400905090115,0
010503,-78.015376000826,-6.6269698760506,2232.13280632411,3.84,341.6,16165.1745647969,0,1500-2500,,0,-0.184148315230982,-0.178278856917583,-0.170798163758967,-0.260425044887811,-0.241545079616352,0.0339106020024092,0
010504,-78.0106390791877,-6.31003183688503,2822.91122278057,2.71,107.8,15219.6562025316,0,2500-3500,,0,-0.247305576883855,-0.187283205183338,-0.176734297239791,-0.349742900879649,-0.24994004009299,0.0611600483578561,0
010505,-78.191198453143,-6.1265338081285,2526.51559100798,1.82,249.2,15213.0624033007,0,2500-3500,,0,-0.21205914811473,-0.139751635466379,-0.12911078904947,-0.299896923289136,-0.182590228922452,0.044969082299145,0
