especificacion,parametro,n,beta,SE,IRR,IC95_inf,IC95_sup,p_value,modelo
quasi-Poisson (base),Altitud,1891,2.76834336616763,0.725771881201986,6.81325104520776,2.54176469609911,18.2630555362842,0.000136545351564913,Modelo 1: altitud sola
agrupado por departamento (25),Altitud,1891,2.76834336616763,0.929470450542041,6.81325104520776,1.92730016927927,24.0857083628981,0.0028974884031642,Modelo 1: altitud sola
agrupado por provincia (196),Altitud,1891,2.76834336616763,0.685045377053565,6.81325104520776,2.68636330210746,17.2800118913952,5.31989141552694e-05,Modelo 1: altitud sola
Conley Bartlett 50 km,Altitud,1891,2.76834336616763,0.599919419731671,6.81325104520776,3.01571752986971,15.3928175783195,3.93994699579197e-06,Modelo 1: altitud sola
Conley Bartlett 100 km,Altitud,1891,2.76834336616763,0.720865079656569,6.81325104520776,2.55876527561048,18.1417147745017,0.000122880438428556,Modelo 1: altitud sola
Conley Bartlett 200 km,Altitud,1891,2.76834336616763,0.897810401781353,6.81325104520776,2.01200651777599,23.0716895769981,0.00204623240079897,Modelo 1: altitud sola
Conley Bartlett 300 km,Altitud,1891,2.76834336616763,0.972927265972701,6.81325104520776,1.81680795092632,25.5505210560954,0.00443591021085706,Modelo 1: altitud sola
quasi-Poisson (base),Altitud,1891,2.04252367896273,0.256091450336218,4.11965544207526,2.9091232829063,5.83390915783575,1.51447258190523e-15,Modelo 2: altitud
agrupado por departamento (25),Altitud,1891,2.04252367896273,0.523474203503963,4.11965544207526,2.02302512851728,8.38919928486458,9.54558943427164e-05,Modelo 2: altitud
agrupado por provincia (196),Altitud,1891,2.04252367896273,0.430291573315096,4.11965544207526,2.29604703347459,7.39164342628354,2.06622999987114e-06,Modelo 2: altitud
Conley Bartlett 50 km,Altitud,1891,2.04252367896273,0.376082886031061,4.11965544207526,2.47152452481837,6.86683898581484,5.60245014570297e-08,Modelo 2: altitud
Conley Bartlett 100 km,Altitud,1891,2.04252367896273,0.438066200434482,4.11965544207526,2.27192297834874,7.47013042394396,3.12252400138069e-06,Modelo 2: altitud
Conley Bartlett 200 km,Altitud,1891,2.04252367896273,0.514625792631279,4.11965544207526,2.04749102138717,8.28895501086108,7.21902381969132e-05,Modelo 2: altitud
Conley Bartlett 300 km,Altitud,1891,2.04252367896273,0.509469308976519,4.11965544207526,2.06188494796344,8.23109018676497,6.09453997262814e-05,Modelo 2: altitud
quasi-Poisson (base),Densidad,1891,1.0071223644277,0.12419763693248,2.00989810625775,1.69783351149212,2.37932068733187,5.10254467597619e-16,Modelo 2: densidad
agrupado por departamento (25),Densidad,1891,1.0071223644277,0.22403488891058,2.00989810625775,1.48248137749329,2.7249518670981,6.9445223356868e-06,Modelo 2: densidad
agrupado por provincia (196),Densidad,1891,1.0071223644277,0.152968906546903,2.00989810625775,1.63274932022118,2.47416449512977,4.58459377770093e-11,Modelo 2: densidad
Conley Bartlett 50 km,Densidad,1891,1.0071223644277,0.147456975583987,2.00989810625775,1.64502178797175,2.45570631773777,8.49498794150118e-12,Modelo 2: densidad
Conley Bartlett 100 km,Densidad,1891,1.0071223644277,0.172446913156371,2.00989810625775,1.59010982750115,2.54051030166065,5.21419999620908e-09,Modelo 2: densidad
Conley Bartlett 200 km,Densidad,1891,1.0071223644277,0.197981081225662,2.00989810625775,1.53589484485424,2.63018683282441,3.63843464709345e-07,Modelo 2: densidad
Conley Bartlett 300 km,Densidad,1891,1.0071223644277,0.201219309829511,2.00989810625775,1.52915273907331,2.64178344930188,5.58336192112316e-07,Modelo 2: densidad
