especificacion,n,parametro,beta,SE,IRR,IC95_inf,IC95_sup,p_value,dispersion,muertes
(a) arbitrary floor 0.01,1891,Altitude,2.02161467794214,0.726123832050423,4.06037979251978,1.51404907378904,10.8891345365997,0.00542086081014101,28.7118590869383,591
(a) arbitrary floor 0.01,1891,Flash density,0.906337802900063,0.333683779337465,1.87428170004691,1.19111903387232,2.94927021668878,0.00666467620134856,28.7118590869383,591
LOD/2 = 0.2064,1891,Altitude,2.03095515030058,0.289708779359917,4.08675328217391,2.75705097735491,6.05775973187937,3.29746630240268e-12,4.75464144589126,591
LOD/2 = 0.2064,1891,Flash density,0.984267397761506,0.138767066499008,1.97830847035401,1.63839582872349,2.38874167967314,1.84884383853783e-12,4.75464144589126,591
LOD/sqrt(2) = 0.2919,1891,Altitude,2.03550982659422,0.270830562336019,4.09967579956036,2.83762102405754,5.92303958809408,8.68536673242069e-14,4.18062237605654,591
LOD/sqrt(2) = 0.2919,1891,Flash density,0.994793922174234,0.130455425009644,1.99279584985366,1.66913574536769,2.37921649585135,3.82555044484507e-14,4.18062237605654,591
LOD = 0.4128  [MAIN],1891,Altitude,2.04252367896273,0.256091450336218,4.11965544207526,2.9091232829063,5.83390915783575,2.60025061352978e-15,3.76503208883935,591
LOD = 0.4128  [MAIN],1891,Flash density,1.0071223644277,0.12419763693248,2.00989810625775,1.69783351149212,2.37932068733187,9.08235320393287e-16,3.76503208883935,591
(c) censored excluded,1701,Altitude,2.29649329433646,0.287896258000503,4.91262219970563,3.32237893251972,7.26402898863114,2.73586141763654e-15,3.50798857307236,585
(c) censored excluded,1701,Flash density,1.07595237932751,0.127951850390837,2.10811326054619,1.77173981126477,2.50834885068041,8.63498209360352e-17,3.50798857307236,585
