indicator,value_expected,tolerance
national_cases,593,0
geographic_cases,591,0
missing_altitude,2,0
high_altitude_cases,510,0
high_rate,13.0162494,0.0005
coast_rate,0.1491537,0.0005
RR_high_rest,35.73027,0.005
RR_high_coast,87.26733,0.01
density_ratio_high_rest,0.512,0.002
mortality_flash_ratio_high_rest,52.5,0.15
electrocution_ratio_high_coast,1.18,0.03
men,314,0
women,279,0
mean_age,42.27656,0.005
median_age,44,0
percent_age_5_14,12.141653,0.01
percent_oct_mar,85.328836,0.01
percent_home,34.752981,0.01
percent_necropsy,9.443508,0.01
multiple_events,24,0
multiple_event_victims,49,0
checca_posterior_rate,266.374,0.05
pilpichaca_posterior_rate,255.2427,0.05
model_altitude_beta,2.7683434,0.0005
model_adjusted_altitude_beta,2.0425237,0.0005
model_density_beta,1.0071224,0.0005
dispersion_phi_model1,18.671495,0.001
dispersion_phi_model2,3.765032,0.001
negbin_theta_model1,0.3683,0.0005
negbin_theta_model2,0.5428,0.0005
moran_I_deaths_queen,0.4350976,0.002
moran_I_deaths_knn8,0.3288984,0.002
moran_I_residuals_m1_queen,0.1367852,0.002
moran_I_residuals_m2_queen,0.1381741,0.002
moran_I_residuals_m2_knn8,0.1050807,0.002
RR_high_vs_amazon_lowland,13.98797,0.005
density_ratio_high_vs_amazon,0.3817,0.002
mortality_flash_ratio_high_vs_amazon,198.94,0.5
RR_high_vs_pacific_coast,362.0649,0.01
check_districts_without_2017_denominator,18,0
check_deaths_in_districts_without_denominator,0,0
check_amazon_density_rank,1,0
check_amazon_area_weighted_density,20.6478,0.01
check_high_rate_reconstructed_2017,13.016249,0.001
check_high_rate_2017_equals_2018,13.009896,0.001
check_backextrapolation_impact_pct,0.04881,0.002
check_knn_polygons_compared,1891,0
check_knn_mean_point_distance_km,2.414448,0.02
check_knn_districts_over_1km,1206,0
check_pacific_coast_deaths,4,0
check_RR_high_vs_merged_coast,362.0649,0.01
